FUND,Date,Direction,Ticker,CUSIP,Name,Shares,% of ETF
ARKF,2021-01-26,Buy,4689JP,J95402103,Z HOLDINGS CORP,1200023,0.3005
ARKG,2021-01-26,Buy,TXG,88025U109,10X GENOMICS INC,122538,0.1939
ARKG,2021-01-26,Buy,IONS,462222100,IONIS PHARMACEUTICALS INC,134100,0.0761
ARKG,2021-01-26,Buy,INCY,45337C102,INCYTE CORP,101175,0.0904
ARKG,2021-01-26,Buy,CDXS,192005106,CODEXIS INC,58628,0.0133
ARKG,2021-01-26,Buy,EXAS,30063P105,EXACT SCIENCES CORP,44160,0.0606
ARKG,2021-01-26,Sell,PACB,69404D108,PACIFIC BIOSCIENCES OF CALIFORNIA INC,21269,0.0068
ARKK,2021-01-26,Buy,PCAR,693718108,PACCAR INC,100700,0.0413
ARKK,2021-01-26,Buy,PCAR,693718108,PACCAR INC,197800,0.0817
ARKK,2021-01-26,Buy,NVS,66987V109,NOVARTIS AG,364291,0.1473
ARKK,2021-01-26,Buy,NTDOY,654445303,NINTENDO CO LTD,125200,0.0402
ARKK,2021-01-26,Sell,ONVO,68620A203,ORGANOVO HOLDINGS INC,1062,0.0001
ARKQ,2021-01-26,Buy,KMTUY,500458401,KOMATSU LTD,168079,0.1589
ARKQ,2021-01-26,Buy,EXPC,30217C109,EXPERIENCE INVESTMENT CORP,15731,0.0076
ARKQ,2021-01-26,Buy,ROK,773903109,ROCKWELL AUTOMATION INC,23735,0.1993
ARKQ,2021-01-26,Buy,TER,880770102,TERADYNE INC,86026,0.4027
ARKQ,2021-01-26,Buy,PCAR,693718108,PACCAR INC,77700,0.2489
ARKQ,2021-01-26,Sell,TSLA,88160R101,TESLA INC,6876,0.2043
ARKQ,2021-01-26,Sell,MTLS,57667T100,MATERIALISE NV,24895,0.0573
ARKQ,2021-01-26,Sell,AVAV,008073108,AEROVIRONMENT INC,32000,0.1372
ARKQ,2021-01-26,Sell,IRDM,46269C102,IRIDIUM COMMUNICATIONS INC,97498,0.1598
ARKW,2021-01-26,Buy,API,00851L103,AGORA INC,476091,0.3458
ARKW,2021-01-26,Buy,TWTR,90184L102,TWITTER INC,1412246,1.0672
ARKW,2021-01-26,Buy,ADYEY,00783V104,ADYEN NV,19800,0.0134
ARKW,2021-01-26,Sell,PINS,72352L106,PINTEREST INC,400584,0.4257
ARKW,2021-01-26,Sell,SNAP,83304A106,SNAP INC,623400,0.4974
ARKW,2021-01-26,Sell,ROKU,77543R102,ROKU INC,60266,0.3807